Format Version,1.23,Take Name,Take 2023-12-05 10.28.06 AM,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2023-12-05 10.28.07.020 ,Total Frames in Take,2941,Total Exported Frames,2941,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,mano,mano,mano,mano,mano,mano,mano
,ID,"7D898DEB935011EE83E6B7EAD028669D","7D898DEB935011EE83E6B7EAD028669D","7D898DEB935011EE83E6B7EAD028669D","7D898DEB935011EE83E6B7EAD028669D","7D898DEB935011EE83E6B7EAD028669D","7D898DEB935011EE83E6B7EAD028669D","7D898DEB935011EE83E6B7EAD028669D"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
183,1.830000,0.042315,0.046086,-0.348253,-0.935310,0.203380,0.473067,0.022180
184,1.840000,0.042777,0.043454,-0.347894,-0.935549,0.203506,0.472424,0.022053
185,1.850000,0.041855,0.043553,-0.347557,-0.935711,0.203561,0.471821,0.022058
186,1.860000,0.040857,0.042745,-0.349082,-0.935225,0.203408,0.471079,0.022051
187,1.870000,0.038934,0.047020,-0.347396,-0.935729,0.203772,0.470716,0.022275
188,1.880000,,,,,,,
189,1.890000,,,,,,,
190,1.900000,0.041315,0.042690,-0.356803,-0.932289,0.202672,0.468367,0.022041
191,1.910000,0.042733,0.041982,-0.359546,-0.931202,0.202487,0.467702,0.022057
192,1.920000,0.042743,0.044702,-0.358931,-0.931313,0.202460,0.467386,0.022230
193,1.930000,0.042809,0.045307,-0.358761,-0.931346,0.202344,0.467138,0.022353
194,1.940000,,,,,,,
195,1.950000,0.039720,0.048783,-0.351143,-0.934206,0.202324,0.466970,0.022894
196,1.960000,0.042435,0.044871,-0.356290,-0.932332,0.202037,0.466573,0.022832
197,1.970000,0.042691,0.043757,-0.355079,-0.932836,0.201943,0.466526,0.023004
198,1.980000,0.044133,0.043383,-0.354296,-0.933083,0.201855,0.466525,0.023116
199,1.990000,0.042582,0.047737,-0.347080,-0.935651,0.201981,0.466799,0.023548
200,2.000000,0.046331,0.042066,-0.352407,-0.933752,0.201695,0.466817,0.023415
201,2.010000,,,,,,,
202,2.020000,,,,,,,
203,2.030000,,,,,,,
204,2.040000,,,,,,,
205,2.050000,,,,,,,
206,2.060000,0.046966,0.038396,-0.347124,-0.935855,0.202275,0.469459,0.024826
207,2.070000,,,,,,,
208,2.080000,,,,,,,
209,2.090000,,,,,,,
210,2.100000,,,,,,,
211,2.110000,,,,,,,
212,2.120000,,,,,,,
213,2.130000,,,,,,,
214,2.140000,,,,,,,
215,2.150000,,,,,,,
216,2.160000,,,,,,,
217,2.170000,,,,,,,
218,2.180000,,,,,,,
219,2.190000,,,,,,,
220,2.200000,,,,,,,
221,2.210000,,,,,,,
222,2.220000,,,,,,,
223,2.230000,,,,,,,
224,2.240000,,,,,,,
225,2.250000,,,,,,,
226,2.260000,,,,,,,
227,2.270000,,,,,,,
228,2.280000,,,,,,,
229,2.290000,,,,,,,
230,2.300000,,,,,,,
231,2.310000,,,,,,,
232,2.320000,,,,,,,
233,2.330000,,,,,,,
234,2.340000,,,,,,,
235,2.350000,,,,,,,
236,2.360000,,,,,,,
237,2.370000,,,,,,,
238,2.380000,,,,,,,
239,2.390000,,,,,,,
240,2.400000,,,,,,,
